,word,variant
0,abettor,A
1,abetter,B
2,abettors,A
3,abetters,B
4,abettor's,A
5,abetter's,B
6,abridgment,A
7,abridgement,B
8,abridgments,A
9,abridgements,B
10,abridgment's,A
11,abridgement's,B
12,accessorise,B
13,accessorised,B
14,accessorising,B
15,accessorises,B
16,acclimatisation,B
17,acclimatisation's,B
18,acclimatise,B
19,acclimatised,B
20,acclimatising,B
21,acclimatises,B
22,accouter,A
23,accoutre,B
24,accoutered,A
25,accoutred,B
26,accoutering,A
27,accoutring,B
28,accouters,A
29,accoutres,B
30,accouterment,A
31,accoutrement,B
32,accouterments,A
33,accoutrements,B
34,accouterment's,A
35,accoutrement's,B
36,acknowledgment,A
37,acknowledgement,B
38,acknowledgments,A
39,acknowledgements,B
40,acknowledgment's,A
41,acknowledgement's,B
42,actualisation,B
43,actualisations,B
44,actualisation's,B
45,actualise,B
46,actualised,B
47,actualising,B
48,actualises,B
49,adapter,A
50,adaptor,B
51,adapters,A
52,adaptors,B
53,adapter's,A
54,adaptor's,B
55,africanise,B
56,africanised,B
57,africanising,B
58,africanises,B
59,aggrandise,B
60,aggrandised,B
61,aggrandising,B
62,aggrandises,B
63,aggrandisement,B
64,aggrandisements,B
65,aggrandisement's,B
66,aggrandiser,B
67,aggrandisers,B
68,aggrandiser's,B
69,aging,A
70,ageing,B
71,agings,A
72,ageings,B
73,aging's,A
74,ageing's,B
75,agonise,B
76,agonised,B
77,agonising,B
78,agonises,B
79,agonisingly,B
80,agonisinglier,B
81,agonisingliest,B
82,airfoil,A
83,aerofoil,B
84,airfoils,A
85,aerofoils,B
86,airfoil's,A
87,aerofoil's,B
88,airplane,A
89,aeroplane,B
90,airplanes,A
91,aeroplanes,B
92,airplane's,A
93,aeroplane's,B
94,alchemise,B
95,alchemised,B
96,alchemising,B
97,alchemises,B
98,allegorisation,B
99,allegorisations,B
100,allegorisation's,B
101,allegorise,B
102,allegorised,B
103,allegorising,B
104,allegorises,B
105,alphabetisation,B
106,alphabetisations,B
107,alphabetisation's,B
108,alphabetise,B
109,alphabetised,B
110,alphabetising,B
111,alphabetises,B
112,aluminise,B
113,aluminised,B
114,aluminising,B
115,aluminises,B
116,aluminum,A
117,aluminium,B
118,aluminums,A
119,aluminiums,B
120,aluminum's,A
121,aluminium's,B
122,ambiance,A
123,ambience,B
124,ambiances,A
125,ambiences,B
126,ambiance's,A
127,ambience's,B
128,amenorrhea,A
129,amenorrhoea,B
130,amenorrheas,A
131,amenorrhoeas,B
132,amenorrhea's,A
133,amenorrhoea's,B
134,americanisation,B
135,americanisations,B
136,americanisation's,B
137,americanise,B
138,americanised,B
139,americanising,B
140,americanises,B
141,amongst,B
142,amortisation,B
143,amortisations,B
144,amortisation's,B
145,amortise,B
146,amortised,B
147,amortising,B
148,amortises,B
149,amphitheater,A
150,amphitheatre,B
151,amphitheaters,A
152,amphitheatres,B
153,amphitheater's,A
154,amphitheatre's,B
155,anagrammatise,B
156,anagrammatised,B
157,anagrammatising,B
158,anagrammatises,B
159,analogise,B
160,analogised,B
161,analogising,B
162,analogises,B
163,analyzable,A
164,analysable,B
165,analyzabler,A
166,analysabler,B
167,analyzablest,A
168,analysablest,B
169,analyze,A
170,analyse,B
171,analyzed,A
172,analysed,B
173,analyzing,A
174,analysing,B
175,analyzes,A
176,analyzer,A
177,analyser,B
178,analyzers,A
179,analysers,B
180,analyzer's,A
181,analyser's,B
182,anathematise,B
183,anathematised,B
184,anathematising,B
185,anathematises,B
186,anatomise,B
187,anatomised,B
188,anatomising,B
189,anatomises,B
190,anemia,A
191,anaemia,B
192,anemias,A
193,anaemias,B
194,anemia's,A
195,anaemia's,B
196,anemic,A
197,anaemic,B
198,anemicer,A
199,anaemicer,B
200,anemicest,A
201,anaemicest,B
202,anemics,A
203,anaemics,B
204,anesthesia,A
205,anaesthesia,B
206,anesthesias,A
207,anaesthesias,B
208,anesthesia's,A
209,anaesthesia's,B
210,anesthesiologist,A
211,anaesthesiologist,B
212,anesthesiologists,A
213,anaesthesiologists,B
214,anesthesiologist's,A
215,anaesthesiologist's,B
216,anesthesiology,A
217,anaesthesiology,B
218,anesthesiologies,A
219,anaesthesiologies,B
220,anesthesiology's,A
221,anaesthesiology's,B
222,anesthetic,A
223,anaesthetic,B
224,anestheticer,A
225,anaestheticer,B
226,anestheticest,A
227,anaestheticest,B
228,anesthetics,A
229,anaesthetics,B
230,anesthetic's,A
231,anaesthetic's,B
232,anesthetist,A
233,anaesthetist,B
234,anesthetists,A
235,anaesthetists,B
236,anesthetist's,A
237,anaesthetist's,B
238,anglicisation,B
239,anglicisations,B
240,anglicisation's,B
241,anglicise,B
242,anglicised,B
243,anglicising,B
244,anglicises,B
245,animalisation,B
246,animalisations,B
247,animalisation's,B
248,animalise,B
249,animalised,B
250,animalising,B
251,animalises,B
252,annualise,B
253,annualised,B
254,annualising,B
255,annualises,B
256,anodise,B
257,anodised,B
258,anodising,B
