,word,variant
0,abettor,A
1,abetter,B
2,abettors,A
3,abetters,B
4,abettor's,A
5,abetter's,B
6,abridgment,A
7,abridgement,B
8,abridgments,A
9,abridgements,B
10,abridgment's,A
11,abridgement's,B
12,accouter,A
13,accoutre,B
14,accoutered,A
15,accoutred,B
16,accoutering,A
17,accoutring,B
18,accouters,A
19,accoutres,B
20,accouterment,A
21,accoutrement,B
22,accouterments,A
23,accoutrements,B
24,accouterment's,A
25,accoutrement's,B
26,acknowledgment,A
27,acknowledgement,B
28,acknowledgments,A
29,acknowledgements,B
30,acknowledgment's,A
31,acknowledgement's,B
32,adapter,A
33,adaptor,B
34,adapters,A
35,adaptors,B
36,adapter's,A
37,adaptor's,B
38,aging,A
39,ageing,B
40,agings,A
41,ageings,B
42,aging's,A
43,ageing's,B
44,airfoil,A
45,aerofoil,B
46,airfoils,A
47,aerofoils,B
48,airfoil's,A
49,aerofoil's,B
50,airplane,A
51,aeroplane,B
52,airplanes,A
53,aeroplanes,B
54,airplane's,A
55,aeroplane's,B
56,aluminum,A
57,aluminium,B
58,aluminums,A
59,aluminiums,B
60,aluminum's,A
61,aluminium's,B
62,ambiance,A
63,ambience,B
64,ambiances,A
65,ambiences,B
66,ambiance's,A
67,ambience's,B
68,amenorrhea,A
69,amenorrhoea,B
70,amenorrheas,A
71,amenorrhoeas,B
72,amenorrhea's,A
73,amenorrhoea's,B
74,amphitheater,A
75,amphitheatre,B
76,amphitheaters,A
77,amphitheatres,B
78,amphitheater's,A
79,amphitheatre's,B
80,analyzable,A
81,analysable,B
82,analyzabler,A
83,analysabler,B
84,analyzablest,A
85,analysablest,B
86,analyze,A
87,analyse,B
88,analyzed,A
89,analysed,B
90,analyzing,A
91,analysing,B
92,analyzes,A
93,analyzer,A
94,analyser,B
95,analyzers,A
96,analysers,B
97,analyzer's,A
98,analyser's,B
99,anemia,A
100,anaemia,B
101,anemias,A
102,anaemias,B
103,anemia's,A
104,anaemia's,B
105,anemic,A
106,anaemic,B
107,anemicer,A
108,anaemicer,B
109,anemicest,A
110,anaemicest,B
111,anemics,A
112,anaemics,B
113,anesthesia,A
114,anaesthesia,B
115,anesthesias,A
116,anaesthesias,B
117,anesthesia's,A
118,anaesthesia's,B
119,anesthesiologist,A
120,anaesthesiologist,B
121,anesthesiologists,A
122,anaesthesiologists,B
123,anesthesiologist's,A
124,anaesthesiologist's,B
125,anesthesiology,A
126,anaesthesiology,B
127,anesthesiologies,A
128,anaesthesiologies,B
129,anesthesiology's,A
130,anaesthesiology's,B
131,anesthetic,A
132,anaesthetic,B
133,anestheticer,A
134,anaestheticer,B
135,anestheticest,A
136,anaestheticest,B
137,anesthetics,A
138,anaesthetics,B
139,anesthetic's,A
140,anaesthetic's,B
141,anesthetist,A
142,anaesthetist,B
143,anesthetists,A
144,anaesthetists,B
145,anesthetist's,A
146,anaesthetist's,B
147,apnea,A
148,apnoea,B
149,apneas,A
150,apnoeas,B
151,apnea's,A
152,apnoea's,B
153,appall,A
154,appal,B
155,appalls,A
156,appals,B
157,appareled,A
158,apparelled,B
159,appareling,A
160,apparelling,B
161,arbor,A
162,arbour,B
163,arbors,A
164,arbours,B
165,arbores,A
166,arboures,B
167,arbor's,A
168,arbour's,B
169,arbored,A
170,arboured,B
171,ardor,A
172,ardour,B
173,ardors,A
174,ardours,B
175,ardor's,A
176,ardour's,B
177,armor,A
178,armour,B
179,armored,A
180,armoured,B
181,armoring,A
182,armouring,B
183,armors,A
184,armours,B
185,armor's,A
186,armour's,B
187,armorer,A
188,armourer,B
189,armorers,A
190,armourers,B
191,armorer's,A
192,armourer's,B
193,armory,A
194,armoury,B
195,armories,A
196,armouries,B
197,armory's,A
198,armoury's,B
199,artifact,A
200,artefact,B
201,artifact's,A
202,artefact's,B
203,artifacts,A
204,artefacts,B
205,asafetida,A
206,asafoetida,B
207,asafetidas,A
208,asafoetidas,B
209,asafetida's,A
210,asafoetida's,B
211,asshole,A
212,arsehole,B
213,assholes,A
214,arseholes,B
215,asshole's,A
216,arsehole's,B
217,ax,A
218,axe,B
219,ax's,A
220,axe's,B
221,balk,A
222,baulk,B
223,balk's,A
224,baulk's,B
225,balked,A
226,baulked,B
227,balking,A
228,baulking,B
229,balks,A
230,baulks,B
231,barreled,A
232,barrelled,B
233,barreling,A
234,barrelling,B
235,bedeviled,A
236,bedevilled,B
237,bedeviling,A
238,bedevilling,B
239,behavior,A
240,behaviour,B
241,behaviors,A
242,behaviours,B
243,behavior's,A
244,behaviour's,B
245,behavioral,A
246,behavioural,B
247,behavioraler,A
248,behaviouraler,B
249,behavioralest,A
250,behaviouralest,B
251,behaviorally,A
252,behaviourally,B
253,behaviorism,A
254,behaviourism,B
255,behaviorisms,A
256,behaviourisms,B
257,behaviorism's,A
258,behaviourism's,B
259,behaviorist,A
260,behaviourist,B
261,behaviorists,A
262,behaviourists,B
263,behaviorist's,A
264,behaviourist's,B
265,behavioristic,A
